word,mini,en
amo-enkonte,mi-ale i kan eleti a retorante go amo-enkonte eve?,Can we pick a new restaurant for date night?
amo-enkonte,tu i da favo amo-enkonte e some tempo?,Would you like to go out sometime?
amo-man,"amo-man, favo, i memo.","Darling, please remember."
amo-senti,mi i misi a tu amo-senti.,I miss your caresses.
amuse,si i de e amuse?,Was it fun?
an,mi i an a si a mi seri.,I add it to my list.
an,Tom an mi i de e no solo man ke i de via-viva.,Tom and I weren't the only ones who survived.
an,Tom i de veni en dia-1 an i de baka-go e uno dia afa.,Tom came on Monday and went back the day after.
an-ma,"2, 4, 6, an-ma, a duo-numa.","2, 4, 6, etc., are even numbers."
an-sino,"an-sino i sinifi a ""an"".","The ampersand means ""and""."
Anak,Anak a man en ebru Kristo-buku.,Anak is a figure in the Hebrew Bible.
Andalusia,Andalusia e en sude de Espania.,Andalusia is located in the south of Spain.
Angola,si i de e nati en Sina pero si i viva en Angola.,He was born in China but lives in Angola.
Angugo,en-i etudi a Angugo e duro.,Learning Korean is difficult.
ani,mi i go no lase ke ani i make a da.,I won't let anybody do that.
ani,tu i kan eleti a ani retorante ke tu i favo.,You can pick whatever restaurant you like.
ani-loke,i karo-para en ani-loke.,Just park anywhere.
anima,anima i esi?,Do souls exist?
animale,animale i ave manja.,The animal has eaten.
animale,animale i en manja.,The animal is eating.
animale-fobo,mi i ave a animale-fobo.,I have zoophobia.
animale-medika,Tom i ave a animale-medika base.,Tom has a veterinary background.
animale-medika-kasa,Santiago i de apara en animale-medika-kasa.,Santiago showed up at the veterinary clinic.
animale-medika-man,mi a lase animale-medika-man.,I am a licensed veterinarian.
animale-sela,bovi i de begin kuri en animale-sela.,The cows started running in the corral.
anjo,i dansa kon anjo.,Dance with angels.
ankora,vere duro e ke tu i no savi o ankora ke mi-ale i ave a duro.,The real problem is you don't even know we have a problem.
ano,"via penta ano de duka o sela-develo-maladi terapi, si-viro i de fini-make kipa a dereka fase.","Throughout the five years of painful cancer treatments, he managed to keep a stiff upper lip."
ansio,Annie i de manja o ansio.,Annie ate nervously.
ansio-fiba,lense ansio-fiba en oko i lase ke tu i mira.,The optic nerve in the eye allows you to see.
Antartika,ise-tori e orijen de Antartika.,Penguins are endemic to Antarctica.
ante,"ante tu i dona-mala-name a some, tu i debe kamina a uno-punto-sita-kilo-mita en si sapato.","Before you criticize someone, you should walk a mile in their shoes."
ante,joli-man i de labora o duro en en-i esita a junta ante ludi-man i de apara en patio go fini ludi de karera de mano-balo de Delauer tingi-sekola.,The cheerleaders worked hard to fire up the crowd before the players took the court for the final game of the Delaware high school basketball playoffs.
ante-nese,sivi-neso a ante-nese go vote.,Citizenship is a prerequisite for voting.
ante-nun-aje,"labora de erase-sesi-viro, an, de-i akonto en ante-nun-aje tempo.",An occupation of eunuchs also recorded in premodern times.
anti,si-viro viro-paren i de aseta a mi ajenda anti si-viro vole.,His father consented to my plan against his will.
anti-ora-uti-direto,tu i tensa a di elika-poten-pin e ke? ora-uti-direto u anti-ora-uti-direto?,How do you tighten this screw? Clockwise or counterclockwise?
anti-sinifi,"medi, anti-sinifi de bon a mala.",The usual antonym of good is bad.
anti-tempo-tolera,Tom i de sede o anti-tempo-tolera.,Tom sat impatiently.
antika,Tom e su antika ke si i no kan make a da.,Tom is already too old to do that.
antika-gadi,mi i favo a antika-gadi kon nata de fava-nuki.,I like celery with peanut butter.
anunsi,edu-man i de anunsi a si vina.,The teacher pled guilty.
apara,ale demon i de apara e sama tempo go-i kapa a si-ale mudi-make.,The demons came out all at once to capture their prey.
apara,Ziri de-i apara e mui joli.,Ziri seemed really happy.
apojo,no man i de apojo a si-feme.,Nobody supported her.
apojo-kan,di e no apojo-kan.,This isn't sustainable.
ara,ara i make a madu.,Bees make honey.
ara-fobo,a rason go mi ara-fobo.,There is a reason for my apiphobia.
Aragon,Aragon a ego-ereki komun en Espania.,Aragon is an autonomous community in Spain.
arana,mi i odi a arana.,I abhor spiders.
arana-fobo,arana i kan ave a arana-fobo.,Spiders can have arachnophobia.
arapan,mi i arapan ke tu i go ave a bon afa-semi-dia.,I hope you have a good afternoon.
arapan,mi i de no arapan a some-kosa sama da.,I did not expect something like that.
arapan-kipa,mi i en arapan-kipa o solo a amigo.,I'm just waiting for a friend.
arapan-kipa,mi i no kan arapan-kipa ke dia-5 i veni.,I can't wait for Friday to come.
area,di a no fume area.,This is a no smoking zone.
Argentina,mi-ale i de en-pota a niku de Argentina.,We imported meat from Argentina.
Armenia,Armenia a monte paisa.,Armenia is a mountainous country.
aro,mi aro e en ke?,Where are my arrows?
aroma,si-ale i ave a raro aroma.,They have a weird smell.
aseta,si-viro viro-paren i de aseta a mi ajenda anti si-viro vole.,His father consented to my plan against his will.
aseta,Tom i de aseta o solo a semi liabili.,Tom only accepted partial responsibility.
Asia,Tai e en Asia.,Thailand is in Asia.
asido,asido i dona-duka a metali.,Acid attacks metal.
asilu,si-viro i de no kan deteki a asilu.,He couldn't find any refuge.
Asturias,Asturias e loke en monte area kon mui an develo veji.,Asturias is situated in a mountainous setting with vast greenery and lush vegetation.
atira,anti i atira.,Opposites attract.
Atlas-mare,si-ale i de go via Atlas-mare.,They crossed the Atlantic Ocean.
ato,i ato e ma rapi!,Act faster!
ato-begin,i ato-begin a radi-uti.,Turn on the radio.
ato-fini,i ato-fini a tivi.,Turn off the TV.
ato-name,tu i kan name-muta a di ato-name?,Can you conjugate this verb?
atomo,atomo e en ale.,Atoms are in everything.
atomo-1,vasa i ave a atomo-1 an atomo-8.,Water contains hydrogen and oxygen.
atomo-2,atomo-2 a aero.,Helium is a gas.
atomo-3,tu leva de atomo-3 i de e bajo.,Your lithium levels were low.
atomo-4,"Patrick Etchart, pale-man de Ofisi de Enejia, i dire ke peso i de e make de atomo-94, atomo-92, atomo-4 an no aero-veni fero, en-i uti a vari o danja kami en metodo.","Patrick Etchart, spokesman for the Department of Energy, says the components were made from plutonium, uranium, beryllium and stainless steel, utilizing various dangerous chemicals in the process."
atomo-5,induseri uti de atomo-5 a ke?,What are the industrial applications of boron?
atomo-6,an atomo-6 tarifa?,What about the carbon tax?
atomo-7,kaka de natura polo e tingi en atomo-7.,Organic chicken manure is high in nitrogen.
atomo-8,vasa i ave a atomo-1 an atomo-8.,Water contains hydrogen and oxygen.
atomo-9,atomo-9 a ten-san-ranko da ma medi atomo en pele de Tera.,Fluorine is the thirteenth most common element in Earth's crust.
atomo-10,atomo-10 a nulo-enejia aero.,Neon is a noble gas.
atomo-11,atomo-26 i reaki kon atomo-11?,Does iron react with sodium?
atomo-12,niku-en-feruta i ave a atomo-12.,Figs contain magnesium.
atomo-13,atomo-13 tin e gen-rondo.,Aluminum cans are recycled.
atomo-14,a viva de-i base en atomo-14?,Is there silicon-based life?
atomo-15,fekun i ave a atomo-15?,Do fertilizers contain phosphorus?
atomo-16,atomo-16 i aroma sama fungi-veni ovo.,Sulfur smells like rotten eggs.
atomo-17,atomo-17 i make ke vasa i aroma e raro.,The chlorine makes the water taste strange.
atomo-18,atomo-18 a nulo-enejia aero.,Argon is a noble gas.
atomo-19,banana e tingi en atomo-19.,Bananas are high in potassium.
atomo-20,atomo-20 e misi de si-viro manja-moda.,Calcium is absent from his diet.
atomo-21,kemi sino de atomo-21 a Sc.,The chemical symbol of scandium is Sc.
atomo-22,atomo-68 i de ave deteki en besonde o atomo-22 mina-roka.,Erbium has been found in certain titanium minerals.
atomo-23,kemi sino de atomo-23 a V.,The chemical symbol of vanadium is V.
atomo-24,mini-sujo ke i dona a si ruja kolo go ruja-roka a atomo-24.,The dopant that gives rubies their red color is chromium.
atomo-25,kemi sino de atomo-25 a Mn.,The chemical symbol of manganese is Mn.
atomo-26,atomo-26 i reaki kon atomo-11?,Does iron react with sodium?
atomo-27,Popula-regula-gove republika de kongo i eki-pota a atomo-27.,The DRC exports cobalt.
atomo-28,di duro-mone e make de atomo-28.,This coin is made of nickel.
atomo-29,si-viro i fusi a atomo-29.,He melts copper.
atomo-30,di metali de-i name a atomo-30.,This metal is called zinc.
atomo-31,kemi sino de atomo-31 a Ga.,The chemical symbol of gallium is Ga.
atomo-32,kemi sino de atomo-32 a Ge.,The chemical symbol of germanium is Ge.
atomo-33,atomo-33 a venemo.,Arsenic is a poison.
atomo-34,"atomo-1, atomo-6, atomo-7, atomo-15, otomo-8, atomo-16 and atomo-34 a no-metali.","Hydrogen, carbon, nitrogen, phosphorus, oxygen, sulfur and selenium are nonmetals."
atomo-35,venemo aero de atomo-35 i kan duka a man lunge.,Toxic fumes of bromine can damage one's lungs.
atomo-36,kemi sino de atomo-36 a Kr.,The chemical symbol of krypton is Kr.
atomo-37,makina de-i make de nube de atomo-37 atomo.,The device consists of a cloud of rubidium atoms.
atomo-38,"Davy, britan kemi-man, i de divi a pura atomo atomo-56, atomo-5, atomo-20, atomo-12, atomo-19, atomo-11 an atomo-38.","Davy, a British chemist, isolated the pure elements barium, boron, calcium, magnesium, potassium, sodium and strontium."
atomo-39,"fo kemi atomo, atomo-39, atomo-68, atomo-65 an atomo-70, e name en onore go vila Ytterby en Sbaria.","Four chemical elements, yttrium, erbium, terbium, and ytterbium, are named after the village of Ytterby in Sweden."
atomo-40,"Some man i pensa ke ringo e no ankora vere, an si e make de kubo atomo-40, meno kote moda go diamante.","Some think that the ring isn't even real, and it is instead made up of cubic zirconium, a cheaper alternative to diamond."
atomo-41,kemi sino de atomo-41 a Nb.,The chemical symbol of niobium is Nb.
atomo-42,si-feme i de e esita de atomo-42 dipa-etudi de mina-roka kata.,She was elated by the molybdenum assay of the ore sample.
atomo-43,atomo-43 de-i deteki o raro en natura.,Technetium is rarely found in nature.
atomo-44,kemi sino de atomo-44 a Ru.,The chemical symbol of ruthenium is Ru.
atomo-45,atomo-45 a da ma raro metali.,Rhodium is the rarest metal.
atomo-46,Paul i de nese a atomo-46 go si-viro inventi.,Paul needed the palladium for his invention.
atomo-47,di e no atomo-47.,This isn't silver.
atomo-48,atomo-48 venemo a mui medi rason de mori en sude.,Cadmium poisoning is a very common cause of death in the south.
atomo-49,atomo atomo-49 e mui suave go metali.,Elemental Indium is very soft for a metal.
atomo-50,atomo-50 a suave metali.,Tin is a soft metal.
atomo-51,"mina-roka vare i kon a atomo-47, atomo-79, atomo-92, atomo-51, atomo-74 an kabon.","Mineral resources include silver, gold, uranium, antimony, tungsten, and coal."
atomo-52,man i uti a atomo-52 go ke?,What is tellurium used for?
atomo-53,man i uti a atomo-53 go-i pura a vasa.,Iodine is used to purify water.
atomo-54,kemi sino de atomo-54 a Xe.,The chemical symbol of xenon is Xe.
atomo-55,"en Nipon, man i de deteki a atomo-radi atomo-55 en bebe moloko.","In Japan, radioactive cesium was detected in baby formula."
atomo-56,"Davy, britan kemi-man, i de divi a pura atomo atomo-56, atomo-5, atomo-20, atomo-12, atomo-19, atomo-11 an atomo-38.","Davy, a British chemist, isolated the pure elements barium, boron, calcium, magnesium, potassium, sodium and strontium."
atomo-57,kemi sino de atomo-57 a La.,The chemical symbol of lanthanum is La.
atomo-58,"u atomo-58, ke si a impotan materi en rapi-kemi-reaki muta-uti.","Or cerium, which is an important material in catalytic converters."
atomo-59,kemi sino de atomo-59 a Pr.,The chemical symbol of praseodymium is Pr.
atomo-60,atomo-60 mageneti a mui poten mageneti.,Neodymium magnets are very strong magnets.
atomo-61,kemi sino de atomo-61 a Pm.,The chemical symbol of promethium is Pm.
atomo-62,uno-ranko raro-tera-atomo mageneti de-i develo i de e base en raro-tera-atomo atomo-62.,The first rare earth magnet to have been developed was based on the rare earth samarium.
atomo-63,"raro-tera-atomo a junta de 17 metali atomo, sama atomo-60, atomo-63 an atomo-66.","Rare earth elements are a set of 17 metallic elements, such as neodymium, europium, and dysprosium."
atomo-64,kemi sino de atomo-64 a Gd.,The chemical symbol of gadolinium is Gd.
atomo-65,"fo kemi atomo, atomo-39, atomo-68, atomo-65 an atomo-70, e name en onore go vila Ytterby en Sbaria.","Four chemical elements, yttrium, erbium, terbium, and ytterbium, are named after the village of Ytterby in Sweden."
atomo-66,"raro-tera-atomo a junta de 17 metali atomo, sama atomo-60, atomo-63 an atomo-66.","Rare earth elements are a set of 17 metallic elements, such as neodymium, europium, and dysprosium."
atomo-67,mi atomo-67 pianeta i ave a ale ke si i nese.,My holmium planet has everything it needs.
atomo-68,atomo-68 i de ave deteki en besonde o atomo-22 mina-roka.,Erbium has been found in certain titanium minerals.
atomo-69,da ma raro raro-tera-atomo e atomo-69.,The rarest rare earth is thulium.
atomo-70,"fo kemi atomo, atomo-39, atomo-68, atomo-65 an atomo-70, e name en onore go vila Ytterby en Sbaria.","Four chemical elements, yttrium, erbium, terbium, and ytterbium, are named after the village of Ytterby in Sweden."
atomo-71,kemi sino de atomo-71 a Lu.,The chemical symbol of lutetium is Lu.
atomo-72,bisinesa i dire ke via-vari-eleki-uti en si sige aje de eleki-metodo-uti i go e make kon atomo-72.,The company says the transistors in its next generation of processors will be made using hafnium.
atomo-73,pero an mina ke i de make a atomo-73 u atomo-46 en tu via-vari-eleki-uti?,But what about the mines that produced the tantalum or palladium in your transistors?
atomo-74,"mina-roka vare i kon a atomo-47, atomo-79, atomo-92, atomo-51, atomo-74 an kabon.","Mineral resources include silver, gold, uranium, antimony, tungsten, and coal."
atomo-75,atomo-75 i kan e inventi kon si liga.,Rhenium can be creative with its bonds.
atomo-76,"atomo-78 a peso de sita atomo-78 junta metali (PGM), en-i kon a atomo-46, atomo-77, atomo-45, atomo-44 an atomo-76.","Platinum is part of the six platinum-group metals (PGM), including palladium, iridium, rhodium, ruthenium, and osmium."
atomo-77,"atomo-78 a peso de sita atomo-78 junta metali (PGM), en-i kon a atomo-46, atomo-77, atomo-45, atomo-44 an atomo-76.","Platinum is part of the six platinum-group metals (PGM), including palladium, iridium, rhodium, ruthenium, and osmium."
atomo-78,"atomo-78 a peso de sita atomo-78 junta metali (PGM), en-i kon a atomo-46, atomo-77, atomo-45, atomo-44 an atomo-76.","Platinum is part of the six platinum-group metals (PGM), including palladium, iridium, rhodium, ruthenium, and osmium."
atomo-79,"mina-roka vare i kon a atomo-47, atomo-79, atomo-92, atomo-51, atomo-74 an kabon.","Mineral resources include silver, gold, uranium, antimony, tungsten, and coal."
atomo-80,atomo-80 e kelabu.,Mercury is gray.
atomo-81,atomo-81 a venemo.,Thallium is a poison.
atomo-82,atomo-82 i benda o fasile.,Lead bends easily.
atomo-83,kemi sino de atomo-83 a Bi.,aThe chemical symbol of bismuth is Bi.
atomo-84,man i kan uti a atomo-84 sama mui poten venemo.,Polonium can be used as a very potent poison.
atomo-85,atomo-85 e mui raro.,Astatine is very rare.
atomo-86,a atomo-86 a ke mui?,How much radon is there?
atomo-87,"en ani momen, a, mebi, ba atomo-87 atomo en ale de Tera.","At any given moment, there are perhaps eight francium atoms in the whole of the earth."
atomo-88,ke man i de deteki a atomo-88?,Who discovered radium?
atomo-89,atomo-89 a atomo-radi atomo.,Actinium is a radioactive element.
atomo-90,kemi sino de atomo-90 a Th.,The chemical symbol of thorium is Th.
atomo-91,atomo-91 e atomo-radi.,Protactinium is radioactive.
atomo-92,"Patrick Etchart, pale-man de Ofisi de Enejia, i dire ke peso i de e make de atomo-94, atomo-92, atomo-4 an no aero-veni fero, en-i uti a vari o danja kami en metodo.","Patrick Etchart, spokesman for the Department of Energy, says the components were made from plutonium, uranium, beryllium and stainless steel, utilizing various dangerous chemicals in the process."
atomo-93,atomo-93 e kemi sama atomo-92.,Neptunium is chemically similar to uranium.
atomo-94,"Patrick Etchart, pale-man de Ofisi de Enejia, i dire ke peso i de e make de atomo-94, atomo-92, atomo-4 an no aero-veni fero, en-i uti a vari o danja kami en metodo.","Patrick Etchart, spokesman for the Department of Energy, says the components were made from plutonium, uranium, beryllium and stainless steel, utilizing various dangerous chemicals in the process."
atomo-95,kemi sino de atomo-95 a Am.,The chemical symbol of americium is Am.
atomo-96,atomo ke mi i pale a atomo-96.,The element I'm referring to is curium.
atomo-97,"atomo-97 e name en onore go siti de Berkeley, Kalifornia.","Berkelium is named after the city of Berkeley, California."
atomo-98,kemi sino de atomo-98 a Cf.,The chemical symbol of californium is Cf.
atomo-99,"tu e make de atomo-7, atomo-8, atomo-83, atomo-43, atomo-1 an atomo-99?","Are you made of nitrogen, oxygen, bismuth, technetium, hydrogen and einsteinium?"
atomo-100,atomo-100 e name en onore de Enrico Fermi.,Fermium is named after Enrico Fermi.
atomo-101,kemi sino de atomo-101 a Md.,The chemical symbol of mendelevium is Md.
atomo-102,atomo-102 e name en onore de Alfred Nobel.,Nobelium is named after Alfred Nobel.
atomo-103,atomo-103 e name en onore de Ernest Lawrence.,Lawrencium is named after Ernest Lawrence.
atomo-104,kemi sino de atomo-104 a Rf.,The chemical symbol of rutherfordium is Rf.
atomo-105,kemi sino de atomo-105 a Db.,The chemical symbol of dubnium is Db.
atomo-106,atomo-106 e name en onore de Glenn T. Seaborg.,Seaborgium is named after Glenn T. Seaborg.
atomo-107,mi i de manja a atomo-107 an si i de e bon.,I ate bohrium and it was good.
atomo-108,atomo-108 a ke?,What is hassium?
atomo-109,kemi sino de atomo-109 a Mt.,The chemical symbol of meitnerium is Mt.
atomo-110,kemi sino de atomo-110 a Ds.,The chemical symbol of darmstadtium is Ds.
atomo-111,atomo-111 i de o uno-ranko e make en 1994.,Roentgenium was first created in 1994.
atomo-112,atomo-112 e name en onore de Nicolaus Copernicus.,Copernicium is named after Nicolaus Copernicus.
atomo-113,"kon atomo numa 113, 115, 117 an 118, fo nu atomo de-i name atomo-113 (Nh), atomo-115 (Mc), atomo-117 (Ts) an atomo-118 (Og).","Given the atomic numbers 113, 115, 117 and 118, the four new elements have been named Nihonium (Nh), Moscovium (Mc), Tennessine (Ts) and Oganesson (Og)."
atomo-114,kemi sino de atomo-114 a Fl.,The chemical symbol of flerovium is Fl.
atomo-115,"kon atomo numa 113, 115, 117 an 118, fo nu atomo de-i name atomo-113 (Nh), atomo-115 (Mc), atomo-117 (Ts) an atomo-118 (Og).","Given the atomic numbers 113, 115, 117 and 118, the four new elements have been named Nihonium (Nh), Moscovium (Mc), Tennessine (Ts) and Oganesson (Og)."
atomo-116,kemi sino de atomo-116 a Lv.,The chemical symbol of livermorium is Lv.
atomo-117,"kon atomo numa 113, 115, 117 an 118, fo nu atomo de-i name atomo-113 (Nh), atomo-115 (Mc), atomo-117 (Ts) an atomo-118 (Og).","Given the atomic numbers 113, 115, 117 and 118, the four new elements have been named Nihonium (Nh), Moscovium (Mc), Tennessine (Ts) and Oganesson (Og)."
atomo-118,"kon atomo numa 113, 115, 117 an 118, fo nu atomo de-i name atomo-113 (Nh), atomo-115 (Mc), atomo-117 (Ts) an atomo-118 (Og).","Given the atomic numbers 113, 115, 117 and 118, the four new elements have been named Nihonium (Nh), Moscovium (Mc), Tennessine (Ts) and Oganesson (Og)."
atomo-enejia,atomo-enejia e sekura.,Nuclear power is safe.
Australia,mi i ave janji a Tom ke mi i da go a Australia kon si-viro.,I've promised Tom I'd go to Australia with him.
ave,animale i ave manja.,The animal has eaten.
ave,mi i arapan ke tu i go ave a bon afa-semi-dia.,I hope you have a good afternoon.
ave,Sami i de ave a si diji en si labi an i de roga go Layla ke si i no debe make a sono.,Sami had his finger on his lips and asked Layla not to make a sound.
ave-a,da a ave-a ato-name.,That's a transitive verb.
baka,Ziri i de kuri go baka mun.,Ziri ran to the back door.
baka-dona,Tom i de baka-dona a si note-pape en si teta poke.,Tom put his pad back into his breast pocket.
baka-go,si-viro i de baka-go a Danmak.,He went back to Denmark.
baka-go,Tom i de veni en dia-1 an i de baka-go e uno dia afa.,Tom came on Monday and went back the day after.
baka-pale-tori,go-i mori a baka-pale-tori.,To kill a mockingbird.
Barbari,en-i etudi a Barbari de-i ave e vere joli go mi.,Studying Berber has been a real joy for me.
base,"de begin de lati-maladi, mi-ale i ave make a deside de-i base en siensa, info an dalili de guru de sano.","Since the onset of the pandemic, we have made decisions based on science, data and evidence from health experts."
base,Jordan Peterson e raro seketa-man ke i base a si idea en mentira mentira-siensa de Carl Jung.,Jordan Peterson is a weird mystic who bases his ideas on the discredited pseudoscience of Carl Jung.
basilo,di i go mori a basilo.,This will kill the bacteria.
bebe-pota,tu e bebe-pota?,Are you pregnant?
begin,"de begin de lati-maladi, mi-ale i ave make a deside de-i base en siensa, info an dalili de guru de sano.","Since the onset of the pandemic, we have made decisions based on science, data and evidence from health experts."
begin,junta i de ave begin ludi o jusa ven regen i de begin.,The teams had just started to play when it began to rain.
bela,i mira a tingi bela feme ke i en ereki e da.,Look at the tall pretty girl standing there.
beli,"beli a peso de bodi de man, si e en bodi.","The stomach is part of people’s bodies, it is inside the body."
beso,si i de e apara ke si-viro i de vole beso a mi.,It was obvious that he wanted to kiss me.
besonde,e no nese go-i dire ke si-feme e besonde piano-man.,It is not necessary to say that she is an excellent pianist.
bete,mega silen i sede en bete kasa ve so mui de viro an feme i de more enkonte en ota dia.,An impressive silence broods over the monstrous structure where such multitudes of men and women were wont to assemble in other days.
bibe,man i bibe a vasa.,A person drinks water.
bibe,Tom i de bibe a si kafe.,Tom sipped his coffee.
bisinesa-man,bisinesa-man i en-pota a 200 kilo-gama de vino-beri.,The businessman imports 200 kilograms of grapes.
bodi,bodi de viro e no sama bodi de feme.,The body of a man is not like the body of a woman.
bodi-peso,no o viva bodi-peso i de e duka.,No vital organs were damaged.
bon,mega viro i go veni e bon.,The big man will be good.
bon,mi i arapan ke tu i go ave a bon afa-semi-dia.,I hope you have a good afternoon.
bon,si-uno i no nese dire ke vere-fule-neso e da ma bon ajenda.,It goes without saying that honesty is the best policy.
botelo,i favo pota a semi botelo de vino go mi.,Please bring me a half-bottle of wine.
Brasil,Brasil e mui rika; si rika e mui mega; kafe e uno de si o da ma mega rika.,Brazil is very rich; its richness is immense; coffee is one of its greatest riches.
buku,di buku e de-i note de mi.,This book is written by me.
buku,si-viro i de note a buku ke i dona-mala-name a Aljeri.,He wrote a book criticizing Algeria.
da,"mi da make a da, pero mi no kan.","I would do that, but I can't."
da,Tom an Mary i de dire ke si-ale i da e di.,Tom and Mary said they would be here.
da,Tom i da no favo a Australia.,Tom wouldn't like Australia.
dalili,"de begin de lati-maladi, mi-ale i ave make a deside de-i base en siensa, info an dalili de guru de sano.","Since the onset of the pandemic, we have made decisions based on science, data and evidence from health experts."
dare,amo i nese a dare.,Love needs courage.
de,i jage a sino de fungi-veni.,Look for signs of decomposition.
de,Mary i de muta o fini a si-feme menta.,Mary eventually changed her mind.
de,mega viro i de manja.,The big man ate.
debe,Aljeri i debe kata a relate kon Saudi-arabia?,Should Algeria cut its ties with Saudi Arabia?
debe,da e sama si i debe veni.,That's how it has to be.
defende,i defende de rontgen-radi.,Protect from x-ray.
deja,tu i ave voka o deja a sano-karo?,Have you already called an ambulance?
Delauer,joli-man i de labora o duro en en-i esita a junta ante ludi-man i de apara en patio go fini ludi de karera de mano-balo de Delauer tingi-sekola.,The cheerleaders worked hard to fire up the crowd before the players took the court for the final game of the Delaware high school basketball playoffs.
demon,ale demon i de apara e sama tempo go-i kapa a si-ale mudi-make.,The demons came out all at once to capture their prey.
den,"en-i open o mui lenta o ade a ventana, si-ale i de arapan-kipa tila kali nube i de ave osura o semi a eve, an den uno de uno i de kamina go mini gaden.","Opening the window very slowly and carefully, they waited until a dark cloud had somewhat obscured the night, and then one by one passed through into the little garden."
denta,Tom de-i denta de naga.,Tom was bitten by a snake.
dereko-filoso,si-feme dereko-filoso e elasi.,Her ethics are flexible.
deside,"de begin de lati-maladi, mi-ale i ave make a deside de-i base en siensa, info an dalili de guru de sano.","Since the onset of the pandemic, we have made decisions based on science, data and evidence from health experts."
desini-evento,mui desini-evento de-i kan veni dona.,Numerous examples can be given.
deteki,mi i pensa ke mi i kan deteki a tu domo.,I think I can find your house.
